Name,Location,Ranking,ProgramDetails,TuitionFees
La Trobe University Sydney Campus,Australia,Not in the top 500,Bachelor of Business,"Minimum 60% in high school, IELTS 6.5","$27,000 AUD per year",60% and above,6.5
La Trobe University Sydney Campus,Australia,Not in the top 500,Master of Professional Accounting,"Bachelor's degree in a related field, IELTS 6.5","$30,000 AUD per year",Bachelor's degree,6.5
University of Mumbai International Campus,India,Not in the top 500,Bachelor of Commerce,"Completion of 12th grade, IELTS 6.0","₹40,000 per year",12th grade completion,6.0
University of Mumbai International Campus,India,Not in the top 500,Master of Arts in History,"Bachelor's degree in History or related field, IELTS 6.5","₹50,000 per year",Bachelor's degree,6.5
University of Mumbai International Campus,India,Not in the top 500,Ph.D. in Economics,"Master's degree in Economics or related field, IELTS 7.0","₹60,000 per year",Master's degree,7.0
University of Applied Sciences Upper Austria,Austria,Not available,Bachelor in Business Informatics,"Secondary school leaving certificate, entrance examination, and German language proficiency",€363.36 per semester,Varies,6.0
University of Applied Sciences Upper Austria,Austria,Not available,Master in Innovation and Product Management,"Bachelor's degree, relevant work experience, and German language proficiency",€363.36 per semester,Varies,6.5
University of Applied Sciences Upper Austria,Austria,Not available,PhD in Engineering Sciences,"Master's degree in a related field, research proposal, and German language proficiency",€363.36 per semester,Varies,7.0
University of Toronto Scarborough,Canada,Not available,Bachelor of Arts in Media Studies,"High school diploma, personal statement, and English language proficiency","CAD $14,180 per year",Minimum 75% average,6.5
University of Toronto Scarborough,Canada,Not available,Master of Environmental Science,"Bachelor's degree in a related field, statement of interest, and English language proficiency","CAD $18,240 per year",GPA 3.0,7.0
University of Toronto Scarborough,Canada,Not available,PhD in Computer Science,"Master's degree in computer science, research proposal, and English language proficiency","CAD $22,000 per year",Varies,7.5
Leipzig University of Applied Sciences,"Leipzig, Germany",Not in top rankings,Mechanical Engineering,"High school diploma, Mathematics and Physics background, German language proficiency","$3,000 per year",Minimum B average,6.0
Leipzig University of Applied Sciences,"Leipzig, Germany",Not in top rankings,Business Administration,"High school diploma, English language proficiency","$2,500 per year",Minimum C average,6.5
University of Kiel,Germany,Not in top rankings,Computer Science,"High school diploma, good grades in math and science subjects","$5,000 per year",Minimum B grade,6.0
University of Kiel,Germany,Not in top rankings,Environmental Engineering,"High school diploma, strong background in physics and chemistry","$6,500 per year",Minimum B grade,6.5
University of Kiel,Germany,Not in top rankings,Business Administration,"High school diploma, good grades in economics and mathematics","$5,200 per year",Minimum B grade,6.0
University of Siena,Italy,Not ranked,Bachelor in Economics,"High school diploma, Italian language proficiency, entrance exam","€1,500 per year",Varies,6.0
University of Siena,Italy,Not ranked,Master in Computer Science,"Bachelor's degree, Italian language proficiency, letter of motivation","€2,000 per year",B average,6.5
University of Siena,Italy,Not ranked,Ph.D. in History,"Master's degree, research proposal, academic references","€1,000 per year",A average,7.0
University of Malaya,Malaysia,601-800 (QS World University Rankings),Bachelor in Business Administration,"High school diploma, Malaysian language proficiency, interview","MYR 10,000 - 15,000 per year",B average,6.0
University of Malaya,Malaysia,601-800 (QS World University Rankings),Master in Public Health,"Bachelor's degree, work experience, letter of intent","MYR 15,000 - 20,000 per year",B+ average,6.5
University of Malaya,Malaysia,601-800 (QS World University Rankings),Ph.D. in Engineering,"Master's degree, research proposal, GRE scores","MYR 12,000 - 18,000 per year",A average,7.0
University of Malaga,"Malaga, Spain",Not ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA 3.0","$6,000 per year",GPA 3.0 or equivalent,6.0
University of Malaga,"Malaga, Spain",Not ranked,Master of Computer Science,"Bachelor's degree in related field, minimum GPA 3.2","$8,000 per year",GPA 3.2 or equivalent,6.5
University of Malaga,"Malaga, Spain",Not ranked,PhD in Economics,"Master's degree in Economics or related field, research proposal","$4,500 per year",Master's degree,7.0
University of Derby,"Derby, UK",Not ranked,Bachelor of Nursing,"High School Diploma, minimum GPA 2.5, relevant work experience","£9,250 per year",GPA 2.5 or equivalent,7.0
University of Derby,"Derby, UK",Not ranked,Master of Marketing,"Bachelor's degree in any field, personal statement","£12,500 per year",Bachelor's degree,6.5
University of Derby,"Derby, UK",Not ranked,PhD in Psychology,"Master's degree in Psychology or related field, research proposal","£4,500 per year",Master's degree,7.0
University of Pecs,Hungary,Not in the top rankings,Bachelor in International Relations,"High school diploma, good academic record","$3,500 per year",Minimum GPA 3.0,6.0
University of Pecs,Hungary,Not in the top rankings,Master in Psychology,Bachelor's degree in Psychology or related field,"$4,000 per year",Minimum GPA 3.2,6.5
University of Pecs,Hungary,Not in the top rankings,PhD in Economics,Master's degree in Economics or related field,"$5,000 per year",Minimum GPA 3.5,7.0
Technische Universität Dortmund,Germany,Not in top ranks,Computer Science,"Minimum GPA of 2.5, IELTS 6.0","$5,000 per year",2.5,6.0
Technische Universität Dortmund,Germany,Not in top ranks,Mechanical Engineering,"Minimum GPA of 3.0, IELTS 6.5","$6,000 per year",3.0,6.5
Technische Universität Dortmund,Germany,Not in top ranks,Business Administration,"Minimum GPA of 2.8, IELTS 6.0","$5,500 per year",2.8,6.0
University of Osnabrück,Germany,Not in top rankings,Computer Science,"High school diploma, Mathematics proficiency, IELTS 6.0","$2,000 per semester",Minimum B grade average,6.0
University of Osnabrück,Germany,Not in top rankings,Business Administration,"High school diploma, Economics background, IELTS 6.5","$2,500 per semester",Minimum B grade average,6.5
University of Osnabrück,Germany,Not in top rankings,Psychology,"High school diploma, Biology background, IELTS 6.0","$2,200 per semester",Minimum B grade average,6.0
University of North Carolina Wilmington,USA,Not in top rankings,Marine Biology,"High school diploma, Biology proficiency, IELTS 6.5","$8,000 per semester",Minimum B grade average,6.5
University of North Carolina Wilmington,USA,Not in top rankings,Creative Writing,"High school diploma, Writing portfolio, IELTS 6.0","$7,500 per semester",Minimum B grade average,6.0
University of North Carolina Wilmington,USA,Not in top rankings,Environmental Science,"High school diploma, Science background, IELTS 6.5","$8,200 per semester",Minimum B grade average,6.5
University of Bonn-Rhein-Sieg,Germany,Not in the top rankings,Bachelor in Business Administration,"High school diploma, A-levels or equivalent, IELTS 6.0","$5,000 per semester",Minimum GPA 3.0,6.0
University of Bonn-Rhein-Sieg,Germany,Not in the top rankings,Master in Sustainable Resource Management,"Bachelor's degree in related field, IELTS 6.5","$7,500 per semester",Minimum GPA 3.2,6.5
Shiv Nadar University,India,Not ranked,Bachelor of Science in Physics,"Minimum 60% in 12th grade, IELTS 6.0","$8,000 per year",60% in 12th grade,6.0
Shiv Nadar University,India,Not ranked,Bachelor of Business Administration,"Minimum 55% in 12th grade, IELTS 6.5","$9,500 per year",55% in 12th grade,6.5
Shiv Nadar University,India,Not ranked,Bachelor of Arts in English Literature,"Minimum 50% in 12th grade, IELTS 6.0","$7,500 per year",50% in 12th grade,6.0
Shiv Nadar University,India,Not ranked,Bachelor of Technology in Computer Science,"Minimum 65% in 12th grade with Mathematics, IELTS 6.5","$10,000 per year",65% in 12th grade with Mathematics,6.5
Technical University of Munich,Germany,Unknown,Computer Science,"High school diploma, strong mathematical background",€129.40 per semester,Varies,6.5
Technical University of Munich,Germany,Unknown,Mechanical Engineering,"High school diploma, background in physics and mathematics",€129.40 per semester,Varies,6.5
Technical University of Munich,Germany,Unknown,Business Administration,"High school diploma, strong English skills",€129.40 per semester,Varies,6.5
Rhine-Waal University of Applied Sciences,Germany,Not in top rankings,International Relations,"High school diploma, good grades in relevant subjects","$3,000 per semester",Minimum B average,6.0
Rhine-Waal University of Applied Sciences,Germany,Not in top rankings,Sustainable Agriculture,"High school diploma, good grades in Biology and Chemistry","$4,500 per semester",Minimum B average,6.5
Tallinn University,Estonia,Not ranked,Computer Science,"High school diploma, strong mathematics background","$3,500 - $4,000 per year",Minimum B average,Overall band score of 6.0
Tallinn University,Estonia,Not ranked,International Relations,"High school diploma, interest in global affairs","$3,500 - $4,000 per year",Minimum B average,Overall band score of 6.5
University of Wrocław,Poland,Not ranked,Psychology,"High school diploma, passion for understanding human behavior","$2,000 - $3,000 per year",Minimum B average,Overall band score of 6.0
University of Wrocław,Poland,Not ranked,Business Administration,"High school diploma, interest in management and entrepreneurship","$2,000 - $3,000 per year",Minimum B average,Overall band score of 6.5
University of Rijeka,Croatia,Not ranked,Marine Biology,"High school diploma, love for marine life and ecosystems","$3,000 - $4,000 per year",Minimum B average,Overall band score of 6.0
University of Rijeka,Croatia,Not ranked,Tourism and Hospitality Management,"High school diploma, interest in tourism industry","$3,000 - $4,000 per year",Minimum B average,Overall band score of 6.5
University of Split,Croatia,Not ranked,Archaeology,"High school diploma, fascination with ancient civilizations","$3,000 - $4,000 per year",Minimum B average,Overall band score of 6.0
University of Split,Croatia,Not ranked,Environmental Science,"High school diploma, concern for environmental issues","$3,000 - $4,000 per year",Minimum B average,Overall band score of 6.5
University of Maribor,Slovenia,Not ranked,Civil Engineering,"High school diploma, interest in infrastructure and construction","$2,500 - $3,500 per year",Minimum B average,Overall band score of 6.0
University of Maribor,Slovenia,Not ranked,Media and Communication Studies,"High school diploma, passion for media and journalism","$2,500 - $3,500 per year",Minimum B average,Overall band score of 6.5
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Arts,ATAR of 60,"AUD 28,200 per year",ATAR,Overall 6.0
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Business,ATAR of 65,"AUD 33,600 per year",ATAR,Overall 6.5
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Engineering,ATAR of 70,"AUD 35,880 per year",ATAR,Overall 6.5
University of Applied Sciences Ruhr West,Germany,Not ranked,Bachelor of Engineering in Mechanical Engineering,"High school diploma, Mathematics and Physics background",€500 per semester,Minimum GPA of 2.5,6.0
University of Applied Sciences Ruhr West,Germany,Not ranked,Master of Science in Computer Science,Bachelor's degree in Computer Science or related field,€650 per semester,Minimum GPA of 3.0,6.5
University of Almería,"Almería, Spain",Not ranked,Bachelor in Business Administration,"High school diploma, Letter of motivation, IELTS 6.0","$2,500 per year",Minimum GPA 2.5,6.0
University of Almería,"Almería, Spain",Not ranked,Master in Computer Science,"Bachelor's degree in related field, Statement of purpose, IELTS 6.5","$3,000 per year",Minimum GPA 3.0,6.5
University of Almería,"Almería, Spain",Not ranked,PhD in Economics,"Master's degree in Economics, Research proposal, IELTS 7.0","$4,000 per year",Minimum GPA 3.5,7.0
University of Iceland,"Reykjavik, Iceland",Not ranked,Bachelor of Arts in Icelandic Studies,"High school diploma, Icelandic proficiency test, Letter of Motivation","$4,000 per year",Minimum GPA 2.5,Overall 6.0
University of Iceland,"Reykjavik, Iceland",Not ranked,Master of Science in Renewable Energy Engineering,"Bachelor's degree in engineering or related field, Statement of Purpose, CV","$6,500 per year",Minimum GPA 3.0,Overall 6.5
University of Iceland,"Reykjavik, Iceland",Not ranked,PhD in Viking and Medieval Norse Studies,"Master's degree in relevant field, Research Proposal, Letters of Recommendation","$3,500 per year",Minimum GPA 3.5,Overall 7.0
University of Tuzla,Bosnia and Herzegovina,Not ranked,Bachelor in Computer Science,"High school diploma, Mathematics proficiency test","$2,000 per year",Minimum GPA 3.0,6.0
University of Tuzla,Bosnia and Herzegovina,Not ranked,Master in Economics,Bachelor's degree in relevant field,"$2,500 per year",Minimum GPA 2.5,6.5
University of Tuzla,Bosnia and Herzegovina,Not ranked,PhD in Linguistics,Master's degree in Linguistics or related field,"$3,000 per year",Minimum GPA 3.5,7.0
University of Port Elizabeth,South Africa,Not ranked,Bachelor in Environmental Science,"High school diploma, Biology proficiency test","$3,500 per year",Minimum GPA 2.8,6.5
University of Port Elizabeth,South Africa,Not ranked,Master in Public Health,Bachelor's degree in relevant field,"$4,000 per year",Minimum GPA 3.0,6.5
University of Port Elizabeth,South Africa,Not ranked,PhD in History,Master's degree in History or related field,"$4,500 per year",Minimum GPA 3.5,7.0
University of Gaborone,Botswana,Not ranked,Bachelor in Business Administration,"High school diploma, Business Studies proficiency test","$3,200 per year",Minimum GPA 3.0,6.0
University of Gaborone,Botswana,Not ranked,Master in Development Studies,Bachelor's degree in relevant field,"$3,800 per year",Minimum GPA 2.8,6.5
University of Gaborone,Botswana,Not ranked,PhD in Environmental Science,Master's degree in Environmental Science or related field,"$4,500 per year",Minimum GPA 3.5,7.0
University of Uppsala,Sweden,Unranked,Bachelor of Arts in Archaeology,"High School diploma or equivalent, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 6.5","$10,000 per year",Minimum GPA 3.0,6.5
University of Uppsala,Sweden,Unranked,Master of Science in Sustainable Development,"Bachelor's degree or equivalent, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 7.0","$12,000 per year",Minimum GPA 3.2,7.0
University of Uppsala,Sweden,Unranked,Ph.D. in Computer Science,"Master's degree in a related field, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 7.5","$8,000 per year",Minimum GPA 3.5,7.5
University of San Jose,Costa Rica,Unranked,Bachelor of Architecture,"High School diploma or equivalent, IELTS 6.5","$7,500 per year",Minimum GPA 3.0,6.5
University of San Jose,Costa Rica,Unranked,Master of Public Health,"Bachelor's degree or equivalent, IELTS 6.0","$9,000 per year",Minimum GPA 3.2,6.0
University of San Jose,Costa Rica,Unranked,Ph.D. in Economics,"Master's degree in Economics or related field, IELTS 7.0","$10,500 per year",Minimum GPA 3.5,7.0
University of Marne-la-Vallée,France,Not ranked,Bachelor of Business Administration,"High school diploma, minimum GPA of 2.0","$5,000 per year",GPA 2.0,6.0
University of Marne-la-Vallée,France,Not ranked,Master of Computer Science,"Bachelor's degree in related field, minimum GPA of 2.5","$7,000 per year",GPA 2.5,6.5
University of Marne-la-Vallée,France,Not ranked,PhD in Architecture,"Master's degree in related field, research proposal","$4,500 per year",N/A,7.0
University of Peshawar,Pakistan,Not ranked,Bachelor of Economics,"High school diploma, minimum GPA of 2.5","$2,000 per year",GPA 2.5,6.5
University of Peshawar,Pakistan,Not ranked,Master of Political Science,"Bachelor's degree in related field, minimum GPA of 2.7","$3,500 per year",GPA 2.7,7.0
University of Peshawar,Pakistan,Not ranked,PhD in Chemistry,"Master's degree in Chemistry, research proposal","$6,000 per year",N/A,7.5
University of Colombo School of Computing,Sri Lanka,Not ranked,Bachelor of Information Technology,"High school diploma, minimum GPA of 2.0","$3,000 per year",GPA 2.0,6.0
University of Colombo School of Computing,Sri Lanka,Not ranked,Master of Computer Engineering,"Bachelor's degree in related field, minimum GPA of 2.5","$4,500 per year",GPA 2.5,6.5
University of Colombo School of Computing,Sri Lanka,Not ranked,PhD in Computer Science,"Master's degree in Computer Science, research proposal","$5,000 per year",N/A,7.0
University of Lusaka,Zambia,Not ranked,Bachelor of Law,"High school diploma, minimum GPA of 2.5","$4,000 per year",GPA 2.5,6.5
University of Lusaka,Zambia,Not ranked,Master of Business Administration,"Bachelor's degree in related field, minimum GPA of 2.7","$6,000 per year",GPA 2.7,7.0
University of Lusaka,Zambia,Not ranked,PhD in Education,"Master's degree in Education, research proposal","$5,500 per year",N/A,7.5
University of Zurich,Switzerland,Not Available,Bachelor in Economics,"High school diploma, Mathematics background, Letter of Motivation","$1,200 per semester",Varies,6.5
University of Zurich,Switzerland,Not Available,Master in Computer Science,"Bachelor's degree in relevant field, CV, Letter of Recommendation","$1,500 per semester",Varies,7.0
University of Malta,Malta,Not Available,Bachelor in Psychology,"High school diploma, Personal Statement, Interview","$1,500 per year",Varies,6.0
University of Malta,Malta,Not Available,Master in Business Administration,"Bachelor's degree, Work Experience, GMAT score","$2,000 per year",Varies,6.5
University of Johannesburg,South Africa,Not in the top rankings,Bachelor of Education,"High school diploma, GPA above 2.8, IELTS 6.0","R15,000 per year",GPA 2.8 or higher,6.0
University of Johannesburg,South Africa,Not in the top rankings,Master of Public Health,"Bachelor's degree in Health Sciences, GPA above 3.2, IELTS 6.5","R20,000 per year",GPA 3.2 or higher,6.5
University of Johannesburg,South Africa,Not in the top rankings,PhD in Engineering,"Master's degree in Engineering, research proposal, IELTS 7.0","R25,000 per year",Master's degree with research experience,7.0
Grenoble Ecole de Management,France,Not ranked,Master in International Business,"Bachelor's degree, CV, GMAT/GRE, English proficiency","$24,000",Not specified,6.5
Grenoble Ecole de Management,France,Not ranked,"MSc in Innovation, Strategy & Entrepreneurship","Bachelor's degree, CV, GMAT/GRE, English proficiency","$26,000",Not specified,6.5
University of Crete,Greece,Not in top rankings,Bachelor in Computer Science,"High school diploma, Math background, IELTS 6.5","$3,000 per year",Minimum B grade in Math,6.5
University of Crete,Greece,Not in top rankings,Master in Environmental Engineering,"Bachelor's degree in related field, IELTS 6.5","$4,500 per year",Minimum GPA 3.0,6.5
University of Crete,Greece,Not in top rankings,PhD in Biology,"Master's degree in Biology or related field, IELTS 7.0","$2,500 per year",Minimum GPA 3.5,7.0
"National University of Ireland, Maynooth",Ireland,Not ranked,Bachelor of Arts in English Literature,"High School Diploma, Letter of Recommendation, Personal Statement","$14,500 per year",Minimum GPA 2.75,6.0
"National University of Ireland, Maynooth",Ireland,Not ranked,Master of Science in Computer Science,"Bachelor's degree in a related field, CV, Statement of Purpose","$17,200 per year",Minimum GPA 3.0,6.5
"National University of Ireland, Maynooth",Ireland,Not ranked,PhD in History,"Master's degree in History, Research Proposal","$15,800 per year",Minimum GPA 3.5,7.0
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Computer Science,"High school diploma, A-levels, IELTS 6.0","$15,000",AAA in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,BA History,"High school diploma, A-levels, IELTS 6.0","$14,000",ABB in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc Marketing,"Bachelor's degree, IELTS 6.5","$18,000",2:1 or equivalent,6.5
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Zoology,"High school diploma, A-levels, IELTS 6.0","$13,500",BBC in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,BA International Relations,"High school diploma, A-levels, IELTS 6.0","$14,500",BBB in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc Economics,"Bachelor's degree, IELTS 6.5","$17,500",2:1 or equivalent,6.5
Aberystwyth University,"Wales, UK",Not in the top rankings,BEng Electrical Engineering,"High school diploma, A-levels, IELTS 6.0","$16,000",AAB in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,BA English Literature,"High school diploma, A-levels, IELTS 6.0","$13,000",CCC in A-levels,6.0
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc International Business Management,"Bachelor's degree, IELTS 6.5","$18,500",2:1 or equivalent,6.5
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Psychology,"High school diploma, A-levels, IELTS 6.0","$14,500",BBB in A-levels,6.0
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Commerce,"High school diploma, ATAR 70, IELTS 6.5","$25,000",ATAR 70,6.5
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Nursing,"High school diploma, ATAR 75, IELTS 7.0","$28,000",ATAR 75,7.0
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Engineering Management,"Bachelor's degree, IELTS 6.5","$30,000",2:2 or equivalent,6.5
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Arts (Psychology),"High school diploma, ATAR 75, IELTS 7.0","$26,000",ATAR 75,7.0
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Public Health,"Bachelor's degree, IELTS 7.0","$31,000",2:1 or equivalent,7.0
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Science (Biotechnology),"High school diploma, ATAR 70, IELTS 6.5","$27,000",ATAR 70,6.5
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of International Business,"Bachelor's degree, IELTS 6.5","$29,000",2:2 or equivalent,6.5
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Laws,"High school diploma, ATAR 80, IELTS 7.0","$30,000",ATAR 80,7.0
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Cybersecurity,"Bachelor's degree, IELTS 6.5","$32,000",2:1 or equivalent,6.5
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Education (Primary),"High school diploma, ATAR 75, IELTS 7.0","$26,000",ATAR 75,7.0
University of Iowa,USA,Not Ranked,Bachelor of Fine Arts,"High School Diploma, Portfolio Submission, Interview","$15,000 per year",Minimum GPA of 2.5,6.0
University of Iowa,USA,Not Ranked,Master of Public Health,"Bachelor's degree in Health Sciences, GRE scores, Resume/CV","$20,000 per year",Minimum GPA of 3.0,7.0
University of Bari Aldo Moro,Italy,Not available,Bachelor in Economics,"High school diploma, Italian language proficiency","€1,000 - €2,000 per year",Varies,Not required
University of Bari Aldo Moro,Italy,Not available,Master in Computer Science,"Bachelor's degree, Italian language proficiency","€900 - €2,300 per year",GPA 2.5 or equivalent,6.0
University of Bari Aldo Moro,Italy,Not available,PhD in Mechanical Engineering,"Master's degree, Italian language proficiency","€800 - €2,000 per year",GPA 3.0 or equivalent,6.5
University of Oslo,Norway,Not available,Bachelor in Psychology,"High school diploma, Norwegian language proficiency",NOK 600 - NOK 800 per semester,Varies,6.5
University of Oslo,Norway,Not available,Master in Environmental Studies,"Bachelor's degree, Norwegian language proficiency","NOK 900 - NOK 1,200 per semester",GPA 2.7 or equivalent,7.0
University of Oslo,Norway,Not available,PhD in Linguistics,"Master's degree, Norwegian language proficiency","NOK 700 - NOK 1,000 per semester",GPA 3.0 or equivalent,7.5
University of Auckland,New Zealand,Not available,Bachelor in Education,"High school diploma, English language proficiency","NZ$6,000 - NZ$7,000 per semester",Varies,6.0
University of Auckland,New Zealand,Not available,Master in Architecture,"Bachelor's degree, English language proficiency","NZ$8,000 - NZ$9,000 per semester",GPA 2.5 or equivalent,6.5
University of Auckland,New Zealand,Not available,PhD in Marine Science,"Master's degree, English language proficiency","NZ$9,000 - NZ$10,000 per semester",GPA 3.0 or equivalent,7.0
University of Limpopo,South Africa,Not ranked,Bachelor of Education,"Grade 12 with a minimum of 50% in relevant subjects, IELTS 6.0","$2,000 - $3,000",50% or above,6.0
University of Limpopo,South Africa,Not ranked,Bachelor of Science in Nursing,"Grade 12 with a minimum of 60% in Science subjects, IELTS 6.5","$3,000 - $4,000",60% or above,6.5
University of Limpopo,South Africa,Not ranked,Bachelor of Commerce,"Grade 12 with a minimum of 55% in relevant subjects, IELTS 6.0","$2,500 - $3,500",55% or above,6.0
National University of Lesotho,Lesotho,Not ranked,Bachelor of Law,"Grade 12 with a minimum of 55% in relevant subjects, IELTS 6.5","$2,200 - $3,200",55% or above,6.5
National University of Lesotho,Lesotho,Not ranked,Bachelor of Science in Agriculture,"Grade 12 with a minimum of 50% in Science subjects, IELTS 6.0","$2,000 - $3,000",50% or above,6.0
National University of Lesotho,Lesotho,Not ranked,Bachelor of Economics,"Grade 12 with a minimum of 60% in relevant subjects, IELTS 6.0","$2,500 - $3,500",60% or above,6.0
University of Ottawa,Canada,Not in top rankings,Political Science,"High school diploma, minimum average of 75%, IELTS 6.5","CAD$7,000 - CAD$10,000 per year",Minimum average of 75%,6.5
University of Ottawa,Canada,Not in top rankings,Environmental Studies,"High school diploma, minimum average of 70%, IELTS 6.0","CAD$7,000 - CAD$10,000 per year",Minimum average of 70%,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in Economics,"High School Diploma, minimum GPA 3.0","$2,500 per year",Minimum GPA 3.0,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Nursing,"High School Diploma, Biology background, minimum GPA 3.2","$3,000 per year",Minimum GPA 3.2,6.5
University of Cape Coast,Ghana,Not ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA 2.8","$2,800 per year",Minimum GPA 2.8,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Education in English,"High School Diploma, English proficiency, minimum GPA 3.0","$2,600 per year",Minimum GPA 3.0,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Agriculture,"High School Diploma, Science background, minimum GPA 3.0","$2,700 per year",Minimum GPA 3.0,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in History,"High School Diploma, minimum GPA 2.8","$2,500 per year",Minimum GPA 2.8,5.5
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Computer Science,"High School Diploma, Mathematics background, minimum GPA 3.0","$2,900 per year",Minimum GPA 3.0,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in Sociology,"High School Diploma, minimum GPA 2.8","$2,500 per year",Minimum GPA 2.8,5.5
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Mathematics,"High School Diploma, Mathematics background, minimum GPA 3.0","$2,800 per year",Minimum GPA 3.0,6.0
University of Cape Coast,Ghana,Not ranked,Bachelor of Commerce,"High School Diploma, minimum GPA 2.8","$2,700 per year",Minimum GPA 2.8,6.0
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Science in Environmental Science,"High School Diploma, Science background, minimum GPA 2.5","$2,000 per year",Minimum GPA 2.5,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA 2.8","$2,200 per year",Minimum GPA 2.8,6.0
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Arts in English Literature,"High School Diploma, English proficiency, minimum GPA 2.5","$2,100 per year",Minimum GPA 2.5,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Education in History,"High School Diploma, minimum GPA 2.7","$2,150 per year",Minimum GPA 2.7,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Science in Information Technology,"High School Diploma, Mathematics background, minimum GPA 2.7","$2,300 per year",Minimum GPA 2.7,6.0
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Arts in Political Science,"High School Diploma, minimum GPA 2.5","$2,100 per year",Minimum GPA 2.5,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Science in Physics,"High School Diploma, Science background, minimum GPA 2.7","$2,250 per year",Minimum GPA 2.7,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Commerce,"High School Diploma, minimum GPA 2.5","$2,200 per year",Minimum GPA 2.5,6.0
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Arts in Psychology,"High School Diploma, minimum GPA 2.7","$2,150 per year",Minimum GPA 2.7,5.5
Royal University of Bhutan,Bhutan,Not ranked,Bachelor of Science in Chemistry,"High School Diploma, Science background, minimum GPA 2.7","$2,300 per year",Minimum GPA 2.7,6.0
University of Tartu,"Tartu, Estonia",801-1000 (QS World University Rankings),Bachelor's in Computer Science,"High school diploma, Math proficiency","$3,000 per year",Minimum B average,6.5
University of Tartu,"Tartu, Estonia",801-1000 (QS World University Rankings),Master's in Economics,Bachelor's degree in related field,"$4,500 per year",Minimum GPA 3.0,6.5
University of Belgrade,Serbia,Not ranked,Bachelor of Economics,"High school diploma, entrance exam","$1,500 per year",Varies,6.0
University of Belgrade,Serbia,Not ranked,Master of Computer Science,"Bachelor's degree in related field, entrance exam","$2,000 per year",Varies,6.5
University of Belgrade,Serbia,Not ranked,PhD in Linguistics,"Master's degree in linguistics or related field, research proposal","$1,200 per year",Varies,7.0
Middlesex University,"London, UK",Not ranked,Bachelor of Arts in Business Administration,"High School Diploma or equivalent, IELTS 6.0","$15,000 per year",Varies,6.0
Middlesex University,"London, UK",Not ranked,Bachelor of Science in Computer Science,"High School Diploma with Math background, IELTS 6.5","$16,000 per year",Varies,6.5
Middlesex University,"London, UK",Not ranked,Master of Arts in International Business Management,"Bachelor's degree, IELTS 6.5","$18,000 per year",Varies,6.5
Middlesex University,"London, UK",Not ranked,Master of Science in Data Science,"Bachelor's degree in related field, IELTS 6.5","$19,000 per year",Varies,6.5
Middlesex University,"London, UK",Not ranked,Ph.D. in Psychology,"Master's degree in Psychology, IELTS 7.0","$20,000 per year",Varies,7.0
