Name,Location,Ranking,ProgramDetails,TuitionFees
University of L'Aquila,Italy,Not ranked,Bachelor of Computer Science,"High school diploma, Italian language proficiency"
University of L'Aquila,Italy,Not ranked,Master of Civil Engineering,"Bachelor's degree in related field, Italian language proficiency"
University of Perugia,Italy,Not ranked,Bachelor of Psychology,"High school diploma, Italian language proficiency"
University of Perugia,Italy,Not ranked,Master of Biotechnology,"Bachelor's degree in related field, Italian language proficiency"
University of Urbino,Italy,Not ranked,Bachelor of History,"High school diploma, Italian language proficiency"
University of Urbino,Italy,Not ranked,Master of Materials Engineering,"Bachelor's degree in related field, Italian language proficiency"
University of Southampton,UK,Not ranked,Bachelor in History,"High school diploma, English proficiency, IELTS 6.0"
University of Southampton,UK,Not ranked,Master in Marketing,"Bachelor's degree, English proficiency, IELTS 6.5"
University of South Florida,USA,Not in the top ranks,Computer Science,"Bachelor's degree in a related field, GPA 3.0 or higher, IELTS 6.5"
University of South Florida,USA,Not in the top ranks,Psychology,"Bachelor's degree in Psychology, GPA 2.8 or higher, IELTS 6.0"
University of South Florida,USA,Not in the top ranks,Business Administration,"Bachelor's degree in Business or related field, GPA 2.5 or higher, IELTS 6.0"
Universität Leipzig,Germany,Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum GPA of 2.5, IELTS 6.0"
Universität Leipzig,Germany,Not in top rankings,Master in Computer Science,"Bachelor's degree in related field, GPA 3.0, IELTS 6.5"
University of Lübeck,Germany,Not in the top 1000,Computer Science,"High school diploma, good grades in mathematics and computer science, IELTS 6.0"
University of Lübeck,Germany,Not in the top 1000,Biomedical Engineering,"High school diploma, good grades in biology and chemistry, IELTS 6.5"
University of Lübeck,Germany,Not in the top 1000,Mechanical Engineering,"High school diploma, good grades in mathematics and physics, IELTS 6.0"
University of Lübeck,Germany,Not in the top 1000,Business Administration,"High school diploma, good grades in economics and mathematics, IELTS 6.5"
University of South Queensland,Australia,Not in top rankings,Bachelor in Environmental Science,"High School Diploma, English Proficiency Test, IELTS 6.0"
University of South Queensland,Australia,Not in top rankings,Master in Information Technology,"Bachelor's degree in related field, English Proficiency Test, IELTS 6.5"
University of Pannonia,"Veszprém, Hungary",Not in top rankings,Bachelor of Business Administration,"High school diploma, minimum GPA 2.5"
University of Pannonia,"Veszprém, Hungary",Not in top rankings,Master of Computer Science,"Bachelor's degree in related field, minimum GPA 3.0"
University of Pannonia,"Veszprém, Hungary",Not in top rankings,PhD in Environmental Sciences,"Master's degree in related field, research proposal"
University of Lapland,"Rovaniemi, Finland",Not in top rankings,Bachelor of Tourism,"High school diploma, interview"
University of Lapland,"Rovaniemi, Finland",Not in top rankings,Master of Arctic Art and Design,"Bachelor's degree in related field, portfolio"
University of Lapland,"Rovaniemi, Finland",Not in top rankings,PhD in Cultural Studies,"Master's degree in related field, research proposal"
University of Alcalá,"Alcalá de Henares, Spain",Not in top rankings,Bachelor of History,"High school diploma, entrance exam"
University of Alcalá,"Alcalá de Henares, Spain",Not in top rankings,Master of Spanish Literature,"Bachelor's degree in related field, essay"
University of Alcalá,"Alcalá de Henares, Spain",Not in top rankings,PhD in Linguistics,"Master's degree in related field, research proposal"
University of Plovdiv,"Plovdiv, Bulgaria",Not ranked,Bachelor of Business Administration,"High school diploma, minimum GPA 2.5"
University of Plovdiv,"Plovdiv, Bulgaria",Not ranked,Master of Computer Science,"Bachelor's degree in related field, minimum GPA 3.0"
University of Plovdiv,"Plovdiv, Bulgaria",Not ranked,PhD in Economics,"Master's degree in Economics or related field, research proposal"
University of Debrecen,"Debrecen, Hungary",Not ranked,Bachelor of Nursing,"High school diploma, minimum GPA 2.0"
University of Debrecen,"Debrecen, Hungary",Not ranked,Master of Public Health,"Bachelor's degree in related field, minimum GPA 2.5"
University of Debrecen,"Debrecen, Hungary",Not ranked,PhD in Chemistry,"Master's degree in Chemistry or related field, research proposal"
Savitribai Phule Pune University,"Pune, India",Not ranked,Bachelor of Arts,"High school diploma, minimum GPA 2.0"
Savitribai Phule Pune University,"Pune, India",Not ranked,Master of Computer Applications,"Bachelor's degree in Computer Science, minimum GPA 2.5"
Savitribai Phule Pune University,"Pune, India",Not ranked,PhD in Environmental Science,"Master's degree in Environmental Science or related field, research proposal"
University of Tirana,Albania,Not ranked,Computer Science,"High school diploma, Math proficiency, IELTS 6.0"
University of Tirana,Albania,Not ranked,Business Administration,"High school diploma, IELTS 6.5"
University of Tirana,Albania,Not ranked,Civil Engineering,"High school diploma, Math and Physics proficiency, IELTS 6.0"
University of Gondar,Ethiopia,Not ranked,Bachelor of Science in Computer Science,"High school diploma, Math proficiency test, IELTS 6.0"
University of Gondar,Ethiopia,Not ranked,Bachelor of Arts in English Language and Literature,"High school diploma, English proficiency test, IELTS 6.5"
University of Gondar,Ethiopia,Not ranked,Bachelor of Business Administration,"High school diploma, Math proficiency test, IELTS 6.0"
University of Botswana,Botswana,Not ranked,Bachelor of Engineering in Civil Engineering,"High school diploma, Math proficiency test, IELTS 6.0"
University of Botswana,Botswana,Not ranked,Bachelor of Science in Biology,"High school diploma, Science proficiency test, IELTS 6.5"
University of Botswana,Botswana,Not ranked,Bachelor of Arts in History,"High school diploma, English proficiency test, IELTS 6.0"
University of Dar es Salaam,Tanzania,Not ranked,Bachelor of Laws,"High school diploma, Law proficiency test, IELTS 6.5"
University of Dar es Salaam,Tanzania,Not ranked,Bachelor of Commerce,"High school diploma, Math proficiency test, IELTS 6.0"
University of Dar es Salaam,Tanzania,Not ranked,Bachelor of Science in Information Technology,"High school diploma, IT proficiency test, IELTS 6.5"
University of Latvia,Latvia,Not ranked,Bachelor in Business Administration,"High school diploma, Letter of motivation"
University of Latvia,Latvia,Not ranked,Master in Computer Science,"Bachelor's degree in related field, Statement of purpose"
University of Latvia,Latvia,Not ranked,PhD in Physics,"Master's degree in Physics, Research proposal"
Humboldt University of Berlin,Germany,Not ranked,Bachelor in Sociology,"High school diploma, Letter of recommendation"
Humboldt University of Berlin,Germany,Not ranked,Master in History,"Bachelor's degree in History or related field, Writing sample"
Humboldt University of Berlin,Germany,Not ranked,PhD in Economics,"Master's degree in Economics, Research experience"
University of Westminster,UK,Not in the top rankings,Bachelor of Fashion Design,"High school diploma, portfolio of design work"
University of Westminster,UK,Not in the top rankings,Master of International Relations,"Bachelor's degree in related field, statement of purpose"
Westcliff University,USA,Not Ranked,Bachelor of Business Administration,"High School Diploma or equivalent, SAT/ACT scores, TOEFL 80 or IELTS 6.0"
Westcliff University,USA,Not Ranked,Master of Business Administration,"Bachelor's degree, GMAT/GRE scores, TOEFL 88 or IELTS 6.5"
Westcliff University,USA,Not Ranked,Bachelor of Science in Information Technology,"High School Diploma or equivalent, SAT/ACT scores, TOEFL 80 or IELTS 6.0"
Westcliff University,USA,Not Ranked,Master of Science in Information Systems,"Bachelor's degree, GMAT/GRE scores, TOEFL 88 or IELTS 6.5"
University of Bamberg,Germany,Not in top rankings,Bachelor in Business Administration,"High school diploma, minimum GPA of 2.5"
University of Bamberg,Germany,Not in top rankings,Master in International Relations,"Bachelor's degree, GPA of 2.75"
University of Bamberg,Germany,Not in top rankings,PhD in Economics,"Master's degree, relevant coursework"
"University of New England, Armidale",Australia,Not in top rankings,Bachelor of Environmental Science,"High school diploma, background in science"
"University of New England, Armidale",Australia,Not in top rankings,Master of Psychology,"Bachelor's degree in psychology, GPA of 2.7"
"University of New England, Armidale",Australia,Not in top rankings,PhD in History,"Master's degree in history, research proposal"
University of Venda,South Africa,Not ranked,Bachelor of Education,"Minimum 60% in high school, IELTS 6.0"
University of Venda,South Africa,Not ranked,Bachelor of Science in Computer Science,"Minimum 65% in high school with Math and Science subjects, IELTS 6.5"
University of Venda,South Africa,Not ranked,Bachelor of Business Administration,"Minimum 55% in high school, IELTS 6.0"
University of Venda,South Africa,Not ranked,Bachelor of Arts in Economics,"Minimum 60% in high school, IELTS 6.5"
University of Venda,South Africa,Not ranked,Bachelor of Social Work,"Minimum 50% in high school, IELTS 6.0"
University of Papua New Guinea,Papua New Guinea,Not ranked,Bachelor of Medicine and Surgery,"Minimum 70% in high school with Biology and Chemistry, IELTS 6.5"
University of Papua New Guinea,Papua New Guinea,Not ranked,Bachelor of Engineering in Civil Engineering,"Minimum 65% in high school with Math and Physics, IELTS 6.0"
University of Papua New Guinea,Papua New Guinea,Not ranked,Bachelor of Agriculture,"Minimum 60% in high school with Biology, IELTS 6.0"
University of Papua New Guinea,Papua New Guinea,Not ranked,Bachelor of Education in Primary Teaching,"Minimum 55% in high school, IELTS 6.0"
University of Papua New Guinea,Papua New Guinea,Not ranked,Bachelor of Business Management,"Minimum 50% in high school, IELTS 5.5"
University of Rwanda,Rwanda,Not ranked,Bachelor of Science in Nursing,"Minimum 65% in high school with Biology, IELTS 6.0"
University of Rwanda,Rwanda,Not ranked,Bachelor of Arts in Development Studies,"Minimum 60% in high school, IELTS 5.5"
University of Rwanda,Rwanda,Not ranked,Bachelor of Information Technology,"Minimum 55% in high school with Math, IELTS 5.5"
University of Rwanda,Rwanda,Not ranked,Bachelor of Education in English Language Teaching,"Minimum 50% in high school, IELTS 5.0"
University of Rwanda,Rwanda,Not ranked,Bachelor of Business Administration,"Minimum 45% in high school, IELTS 5.0"
University of Guelph-Humber,Canada,Not in the top 500,Bachelor of Business Administration,"Minimum 70% in high school with Math and English courses, IELTS 6.5"
University of Guelph-Humber,Canada,Not in the top 500,Bachelor of Media Studies,"Minimum 75% in high school, IELTS 6.0"
University of Guelph-Humber,Canada,Not in the top 500,Bachelor of Applied Science in Justice Studies,"Minimum 65% in high school, IELTS 6.5"
University of Essex International College,UK,Not in the top 500,International Foundation Year in Business,"Completion of high school, IELTS 5.5"
University of Essex International College,UK,Not in the top 500,Pre-Master's Program in Social Sciences,"Bachelor's degree in a related field, IELTS 6.5"
University of Essex International College,UK,Not in the top 500,Master of Science in Data Science,"Bachelor's degree in a relevant field, IELTS 6.5"
La Trobe University Sydney Campus,Australia,Not in the top 500,Diploma of Information Technology,"Completion of high school, IELTS 6.0"
La Trobe University Sydney Campus,Australia,Not in the top 500,Bachelor of Business,"Minimum 60% in high school, IELTS 6.5"
La Trobe University Sydney Campus,Australia,Not in the top 500,Master of Professional Accounting,"Bachelor's degree in a related field, IELTS 6.5"
University of Mumbai International Campus,India,Not in the top 500,Bachelor of Commerce,"Completion of 12th grade, IELTS 6.0"
University of Mumbai International Campus,India,Not in the top 500,Master of Arts in History,"Bachelor's degree in History or related field, IELTS 6.5"
University of Mumbai International Campus,India,Not in the top 500,Ph.D. in Economics,"Master's degree in Economics or related field, IELTS 7.0"
University of Applied Sciences Upper Austria,Austria,Not available,Bachelor in Business Informatics,"Secondary school leaving certificate, entrance examination, and German language proficiency"
University of Applied Sciences Upper Austria,Austria,Not available,Master in Innovation and Product Management,"Bachelor's degree, relevant work experience, and German language proficiency"
University of Applied Sciences Upper Austria,Austria,Not available,PhD in Engineering Sciences,"Master's degree in a related field, research proposal, and German language proficiency"
University of Toronto Scarborough,Canada,Not available,Bachelor of Arts in Media Studies,"High school diploma, personal statement, and English language proficiency"
University of Toronto Scarborough,Canada,Not available,Master of Environmental Science,"Bachelor's degree in a related field, statement of interest, and English language proficiency"
University of Toronto Scarborough,Canada,Not available,PhD in Computer Science,"Master's degree in computer science, research proposal, and English language proficiency"
Leipzig University of Applied Sciences,"Leipzig, Germany",Not in top rankings,Mechanical Engineering,"High school diploma, Mathematics and Physics background, German language proficiency"
Leipzig University of Applied Sciences,"Leipzig, Germany",Not in top rankings,Business Administration,"High school diploma, English language proficiency"
University of Kiel,Germany,Not in top rankings,Computer Science,"High school diploma, good grades in math and science subjects"
University of Kiel,Germany,Not in top rankings,Environmental Engineering,"High school diploma, strong background in physics and chemistry"
University of Kiel,Germany,Not in top rankings,Business Administration,"High school diploma, good grades in economics and mathematics"
University of Siena,Italy,Not ranked,Bachelor in Economics,"High school diploma, Italian language proficiency, entrance exam"
University of Siena,Italy,Not ranked,Master in Computer Science,"Bachelor's degree, Italian language proficiency, letter of motivation"
University of Siena,Italy,Not ranked,Ph.D. in History,"Master's degree, research proposal, academic references"
University of Malaya,Malaysia,601-800 (QS World University Rankings),Bachelor in Business Administration,"High school diploma, Malaysian language proficiency, interview"
University of Malaya,Malaysia,601-800 (QS World University Rankings),Master in Public Health,"Bachelor's degree, work experience, letter of intent"
University of Malaya,Malaysia,601-800 (QS World University Rankings),Ph.D. in Engineering,"Master's degree, research proposal, GRE scores"
University of Malaga,"Malaga, Spain",Not ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA 3.0"
University of Malaga,"Malaga, Spain",Not ranked,Master of Computer Science,"Bachelor's degree in related field, minimum GPA 3.2"
University of Malaga,"Malaga, Spain",Not ranked,PhD in Economics,"Master's degree in Economics or related field, research proposal"
University of Derby,"Derby, UK",Not ranked,Bachelor of Nursing,"High School Diploma, minimum GPA 2.5, relevant work experience"
University of Derby,"Derby, UK",Not ranked,Master of Marketing,"Bachelor's degree in any field, personal statement"
University of Derby,"Derby, UK",Not ranked,PhD in Psychology,"Master's degree in Psychology or related field, research proposal"
University of Pecs,Hungary,Not in the top rankings,Bachelor in International Relations,"High school diploma, good academic record"
University of Pecs,Hungary,Not in the top rankings,Master in Psychology,Bachelor's degree in Psychology or related field
University of Pecs,Hungary,Not in the top rankings,PhD in Economics,Master's degree in Economics or related field
Technische Universität Dortmund,Germany,Not in top ranks,Computer Science,"Minimum GPA of 2.5, IELTS 6.0"
Technische Universität Dortmund,Germany,Not in top ranks,Mechanical Engineering,"Minimum GPA of 3.0, IELTS 6.5"
Technische Universität Dortmund,Germany,Not in top ranks,Business Administration,"Minimum GPA of 2.8, IELTS 6.0"
University of Osnabrück,Germany,Not in top rankings,Computer Science,"High school diploma, Mathematics proficiency, IELTS 6.0"
University of Osnabrück,Germany,Not in top rankings,Business Administration,"High school diploma, Economics background, IELTS 6.5"
University of Osnabrück,Germany,Not in top rankings,Psychology,"High school diploma, Biology background, IELTS 6.0"
University of North Carolina Wilmington,USA,Not in top rankings,Marine Biology,"High school diploma, Biology proficiency, IELTS 6.5"
University of North Carolina Wilmington,USA,Not in top rankings,Creative Writing,"High school diploma, Writing portfolio, IELTS 6.0"
University of North Carolina Wilmington,USA,Not in top rankings,Environmental Science,"High school diploma, Science background, IELTS 6.5"
University of Bonn-Rhein-Sieg,Germany,Not in the top rankings,Bachelor in Business Administration,"High school diploma, A-levels or equivalent, IELTS 6.0"
University of Bonn-Rhein-Sieg,Germany,Not in the top rankings,Master in Sustainable Resource Management,"Bachelor's degree in related field, IELTS 6.5"
Shiv Nadar University,India,Not ranked,Bachelor of Science in Physics,"Minimum 60% in 12th grade, IELTS 6.0"
Shiv Nadar University,India,Not ranked,Bachelor of Business Administration,"Minimum 55% in 12th grade, IELTS 6.5"
Shiv Nadar University,India,Not ranked,Bachelor of Arts in English Literature,"Minimum 50% in 12th grade, IELTS 6.0"
Shiv Nadar University,India,Not ranked,Bachelor of Technology in Computer Science,"Minimum 65% in 12th grade with Mathematics, IELTS 6.5"
Technical University of Munich,Germany,Unknown,Computer Science,"High school diploma, strong mathematical background"
Technical University of Munich,Germany,Unknown,Mechanical Engineering,"High school diploma, background in physics and mathematics"
Technical University of Munich,Germany,Unknown,Business Administration,"High school diploma, strong English skills"
Rhine-Waal University of Applied Sciences,Germany,Not in top rankings,International Relations,"High school diploma, good grades in relevant subjects"
Rhine-Waal University of Applied Sciences,Germany,Not in top rankings,Sustainable Agriculture,"High school diploma, good grades in Biology and Chemistry"
Tallinn University,Estonia,Not ranked,Computer Science,"High school diploma, strong mathematics background"
Tallinn University,Estonia,Not ranked,International Relations,"High school diploma, interest in global affairs"
University of Wrocław,Poland,Not ranked,Psychology,"High school diploma, passion for understanding human behavior"
University of Wrocław,Poland,Not ranked,Business Administration,"High school diploma, interest in management and entrepreneurship"
University of Rijeka,Croatia,Not ranked,Marine Biology,"High school diploma, love for marine life and ecosystems"
University of Rijeka,Croatia,Not ranked,Tourism and Hospitality Management,"High school diploma, interest in tourism industry"
University of Split,Croatia,Not ranked,Archaeology,"High school diploma, fascination with ancient civilizations"
University of Split,Croatia,Not ranked,Environmental Science,"High school diploma, concern for environmental issues"
University of Maribor,Slovenia,Not ranked,Civil Engineering,"High school diploma, interest in infrastructure and construction"
University of Maribor,Slovenia,Not ranked,Media and Communication Studies,"High school diploma, passion for media and journalism"
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Arts,ATAR of 60
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Business,ATAR of 65
Swinburne University of Technology,Australia,Not Top-ranked,Bachelor of Engineering,ATAR of 70
University of Applied Sciences Ruhr West,Germany,Not ranked,Bachelor of Engineering in Mechanical Engineering,"High school diploma, Mathematics and Physics background"
University of Applied Sciences Ruhr West,Germany,Not ranked,Master of Science in Computer Science,Bachelor's degree in Computer Science or related field
University of Almería,"Almería, Spain",Not ranked,Bachelor in Business Administration,"High school diploma, Letter of motivation, IELTS 6.0"
University of Almería,"Almería, Spain",Not ranked,Master in Computer Science,"Bachelor's degree in related field, Statement of purpose, IELTS 6.5"
University of Almería,"Almería, Spain",Not ranked,PhD in Economics,"Master's degree in Economics, Research proposal, IELTS 7.0"
University of Iceland,"Reykjavik, Iceland",Not ranked,Bachelor of Arts in Icelandic Studies,"High school diploma, Icelandic proficiency test, Letter of Motivation"
University of Iceland,"Reykjavik, Iceland",Not ranked,Master of Science in Renewable Energy Engineering,"Bachelor's degree in engineering or related field, Statement of Purpose, CV"
University of Iceland,"Reykjavik, Iceland",Not ranked,PhD in Viking and Medieval Norse Studies,"Master's degree in relevant field, Research Proposal, Letters of Recommendation"
University of Tuzla,Bosnia and Herzegovina,Not ranked,Bachelor in Computer Science,"High school diploma, Mathematics proficiency test"
University of Tuzla,Bosnia and Herzegovina,Not ranked,Master in Economics,Bachelor's degree in relevant field
University of Tuzla,Bosnia and Herzegovina,Not ranked,PhD in Linguistics,Master's degree in Linguistics or related field
University of Port Elizabeth,South Africa,Not ranked,Bachelor in Environmental Science,"High school diploma, Biology proficiency test"
University of Port Elizabeth,South Africa,Not ranked,Master in Public Health,Bachelor's degree in relevant field
University of Port Elizabeth,South Africa,Not ranked,PhD in History,Master's degree in History or related field
University of Gaborone,Botswana,Not ranked,Bachelor in Business Administration,"High school diploma, Business Studies proficiency test"
University of Gaborone,Botswana,Not ranked,Master in Development Studies,Bachelor's degree in relevant field
University of Gaborone,Botswana,Not ranked,PhD in Environmental Science,Master's degree in Environmental Science or related field
University of Uppsala,Sweden,Unranked,Bachelor of Arts in Archaeology,"High School diploma or equivalent, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 6.5"
University of Uppsala,Sweden,Unranked,Master of Science in Sustainable Development,"Bachelor's degree or equivalent, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 7.0"
University of Uppsala,Sweden,Unranked,Ph.D. in Computer Science,"Master's degree in a related field, English B/6 on the Swedish Upper Secondary School Certificate or equivalent, IELTS 7.5"
University of San Jose,Costa Rica,Unranked,Bachelor of Architecture,"High School diploma or equivalent, IELTS 6.5"
University of San Jose,Costa Rica,Unranked,Master of Public Health,"Bachelor's degree or equivalent, IELTS 6.0"
University of San Jose,Costa Rica,Unranked,Ph.D. in Economics,"Master's degree in Economics or related field, IELTS 7.0"
University of Marne-la-Vallée,France,Not ranked,Bachelor of Business Administration,"High school diploma, minimum GPA of 2.0"
University of Marne-la-Vallée,France,Not ranked,Master of Computer Science,"Bachelor's degree in related field, minimum GPA of 2.5"
University of Marne-la-Vallée,France,Not ranked,PhD in Architecture,"Master's degree in related field, research proposal"
University of Peshawar,Pakistan,Not ranked,Bachelor of Economics,"High school diploma, minimum GPA of 2.5"
University of Peshawar,Pakistan,Not ranked,Master of Political Science,"Bachelor's degree in related field, minimum GPA of 2.7"
University of Peshawar,Pakistan,Not ranked,PhD in Chemistry,"Master's degree in Chemistry, research proposal"
University of Colombo School of Computing,Sri Lanka,Not ranked,Bachelor of Information Technology,"High school diploma, minimum GPA of 2.0"
University of Colombo School of Computing,Sri Lanka,Not ranked,Master of Computer Engineering,"Bachelor's degree in related field, minimum GPA of 2.5"
University of Colombo School of Computing,Sri Lanka,Not ranked,PhD in Computer Science,"Master's degree in Computer Science, research proposal"
University of Lusaka,Zambia,Not ranked,Bachelor of Law,"High school diploma, minimum GPA of 2.5"
University of Lusaka,Zambia,Not ranked,Master of Business Administration,"Bachelor's degree in related field, minimum GPA of 2.7"
University of Lusaka,Zambia,Not ranked,PhD in Education,"Master's degree in Education, research proposal"
University of Zurich,Switzerland,Not Available,Bachelor in Economics,"High school diploma, Mathematics background, Letter of Motivation"
University of Zurich,Switzerland,Not Available,Master in Computer Science,"Bachelor's degree in relevant field, CV, Letter of Recommendation"
University of Malta,Malta,Not Available,Bachelor in Psychology,"High school diploma, Personal Statement, Interview"
University of Malta,Malta,Not Available,Master in Business Administration,"Bachelor's degree, Work Experience, GMAT score"
University of Johannesburg,South Africa,Not in the top rankings,Bachelor of Education,"High school diploma, GPA above 2.8, IELTS 6.0"
University of Johannesburg,South Africa,Not in the top rankings,Master of Public Health,"Bachelor's degree in Health Sciences, GPA above 3.2, IELTS 6.5"
University of Johannesburg,South Africa,Not in the top rankings,PhD in Engineering,"Master's degree in Engineering, research proposal, IELTS 7.0"
Grenoble Ecole de Management,France,Not ranked,Master in International Business,"Bachelor's degree, CV, GMAT/GRE, English proficiency"
Grenoble Ecole de Management,France,Not ranked,"MSc in Innovation, Strategy & Entrepreneurship","Bachelor's degree, CV, GMAT/GRE, English proficiency"
University of Crete,Greece,Not in top rankings,Bachelor in Computer Science,"High school diploma, Math background, IELTS 6.5"
University of Crete,Greece,Not in top rankings,Master in Environmental Engineering,"Bachelor's degree in related field, IELTS 6.5"
University of Crete,Greece,Not in top rankings,PhD in Biology,"Master's degree in Biology or related field, IELTS 7.0"
"National University of Ireland, Maynooth",Ireland,Not ranked,Bachelor of Arts in English Literature,"High School Diploma, Letter of Recommendation, Personal Statement"
"National University of Ireland, Maynooth",Ireland,Not ranked,Master of Science in Computer Science,"Bachelor's degree in a related field, CV, Statement of Purpose"
"National University of Ireland, Maynooth",Ireland,Not ranked,PhD in History,"Master's degree in History, Research Proposal"
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Computer Science,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,BA History,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc Marketing,"Bachelor's degree, IELTS 6.5"
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Zoology,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,BA International Relations,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc Economics,"Bachelor's degree, IELTS 6.5"
Aberystwyth University,"Wales, UK",Not in the top rankings,BEng Electrical Engineering,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,BA English Literature,"High school diploma, A-levels, IELTS 6.0"
Aberystwyth University,"Wales, UK",Not in the top rankings,MSc International Business Management,"Bachelor's degree, IELTS 6.5"
Aberystwyth University,"Wales, UK",Not in the top rankings,BSc Psychology,"High school diploma, A-levels, IELTS 6.0"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Commerce,"High school diploma, ATAR 70, IELTS 6.5"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Nursing,"High school diploma, ATAR 75, IELTS 7.0"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Engineering Management,"Bachelor's degree, IELTS 6.5"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Arts (Psychology),"High school diploma, ATAR 75, IELTS 7.0"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Public Health,"Bachelor's degree, IELTS 7.0"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Science (Biotechnology),"High school diploma, ATAR 70, IELTS 6.5"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of International Business,"Bachelor's degree, IELTS 6.5"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Laws,"High school diploma, ATAR 80, IELTS 7.0"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Master of Cybersecurity,"Bachelor's degree, IELTS 6.5"
La Trobe University,"Melbourne, Australia",Not in the top rankings,Bachelor of Education (Primary),"High school diploma, ATAR 75, IELTS 7.0"
University of Iowa,USA,Not Ranked,Bachelor of Fine Arts,"High School Diploma, Portfolio Submission, Interview"
University of Iowa,USA,Not Ranked,Master of Public Health,"Bachelor's degree in Health Sciences, GRE scores, Resume/CV"
University of Bari Aldo Moro,Italy,Not available,Bachelor in Economics,"High school diploma, Italian language proficiency"
University of Bari Aldo Moro,Italy,Not available,Master in Computer Science,"Bachelor's degree, Italian language proficiency"
University of Bari Aldo Moro,Italy,Not available,PhD in Mechanical Engineering,"Master's degree, Italian language proficiency"
University of Oslo,Norway,Not available,Bachelor in Psychology,"High school diploma, Norwegian language proficiency"
University of Oslo,Norway,Not available,Master in Environmental Studies,"Bachelor's degree, Norwegian language proficiency"
University of Oslo,Norway,Not available,PhD in Linguistics,"Master's degree, Norwegian language proficiency"
University of Auckland,New Zealand,Not available,Bachelor in Education,"High school diploma, English language proficiency"
University of Auckland,New Zealand,Not available,Master in Architecture,"Bachelor's degree, English language proficiency"
University of Auckland,New Zealand,Not available,PhD in Marine Science,"Master's degree, English language proficiency"
University of Limpopo,South Africa,Not ranked,Bachelor of Education,"Grade 12 with a minimum of 50% in relevant subjects, IELTS 6.0"
University of Limpopo,South Africa,Not ranked,Bachelor of Science in Nursing,"Grade 12 with a minimum of 60% in Science subjects, IELTS 6.5"
University of Limpopo,South Africa,Not ranked,Bachelor of Commerce,"Grade 12 with a minimum of 55% in relevant subjects, IELTS 6.0"
National University of Lesotho,Lesotho,Not ranked,Bachelor of Law,"Grade 12 with a minimum of 55% in relevant subjects, IELTS 6.5"
National University of Lesotho,Lesotho,Not ranked,Bachelor of Science in Agriculture,"Grade 12 with a minimum of 50% in Science subjects, IELTS 6.0"
National University of Lesotho,Lesotho,Not ranked,Bachelor of Economics,"Grade 12 with a minimum of 60% in relevant subjects, IELTS 6.0"
University of Ottawa,Canada,Not in top rankings,Political Science,"High school diploma, minimum average of 75%, IELTS 6.5"
University of Ottawa,Canada,Not in top rankings,Environmental Studies,"High school diploma, minimum average of 70%, IELTS 6.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in Economics,"High School Diploma, minimum GPA 3.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Nursing,"High School Diploma, Biology background, minimum GPA 3.2"
University of Cape Coast,Ghana,Not ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA 2.8"
University of Cape Coast,Ghana,Not ranked,Bachelor of Education in English,"High School Diploma, English proficiency, minimum GPA 3.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Agriculture,"High School Diploma, Science background, minimum GPA 3.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in History,"High School Diploma, minimum GPA 2.8"
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Computer Science,"High School Diploma, Mathematics background, minimum GPA 3.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Arts in Sociology,"High School Diploma, minimum GPA 2.8"
University of Cape Coast,Ghana,Not ranked,Bachelor of Science in Mathematics,"High School Diploma, Mathematics background, minimum GPA 3.0"
University of Cape Coast,Ghana,Not ranked,Bachelor of Commerce,"High School Diploma, minimum GPA 2.8"
